"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10u","","","","Capacitor_SMD:CAPC1005X55N","~"
"C2,C3,C5","3","100n","","","","Capacitor_SMD:CAPC1005X55N","~"
"C22,C23","2","22u","","","","Capacitor_SMD:CAPC1005X55N","~"
"D1,D2","2","ESD3.3","","","","Diode_SMD:SODFL1006X40N","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"D3","1","1N5817","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"D12","1","RED_D","","","","LED_THT:LED_D5.0mm","~"
"D13","1","Green","","","","LED_THT:LED_D5.0mm","~"
"D21","1","Yellow_D","","","","LED_THT:LED_D5.0mm","~"
"D22","1","Green_D","","","","LED_THT:LED_D5.0mm","~"
"F3","1","Polyfuse 1A","","","","Fuse:FUSC1608X100N","~"
"FB3","1","BLM21PG220","","","","Capacitor_SMD:CAPC1005X55N_1","~"
"J3","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R11,R12,R13,R23","5","1k","","","","Resistor_SMD:RC0402N_YAG-L","~"
"R2","1","10k","","","","Resistor_SMD:RC0402N_YAG-L","~"
"R5,R6","2","5.1k","","","","Resistor_SMD:RC0402N_YAG-L","~"
"SW1","1","RESET","","","","Button_Switch_SMD:SW_CS1213AGF260_CRS","~"
"SW2","1","BOOT","","","","Button_Switch_SMD:SW_CS1213AGF260_CRS","~"
"U1","1","ESP32-S3-WROOM-1U","","","","RF_Module:ESP32-S3-WROOM-1U",""
"U2","1","USBLC6-4SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-4.pdf"
"U4","1","LM1117MP-ADJ","","","","Regulator:DCY0004A_L","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
